idx,date,id,fatalities
0,4/1/2021,Ab Band,0
1,4/2/2021,Ab Band,0
2,4/3/2021,Ab Band,0
3,4/4/2021,Ab Band,0
4,4/5/2021,Ab Band,0
5,4/6/2021,Ab Band,0
6,4/7/2021,Ab Band,0
7,4/8/2021,Ab Band,0
8,4/9/2021,Ab Band,0
9,4/10/2021,Ab Band,0
10,4/11/2021,Ab Band,0
11,4/12/2021,Ab Band,0
12,4/13/2021,Ab Band,0
13,4/14/2021,Ab Band,0
14,4/15/2021,Ab Band,0
15,4/16/2021,Ab Band,0
16,4/17/2021,Ab Band,0
17,4/18/2021,Ab Band,0
18,4/19/2021,Ab Band,16
19,4/20/2021,Ab Band,16
20,4/21/2021,Ab Band,16
21,4/22/2021,Ab Band,16
22,4/23/2021,Ab Band,16
23,4/24/2021,Ab Band,16
24,4/25/2021,Ab Band,16
25,4/26/2021,Ab Band,16
26,4/27/2021,Ab Band,16
27,4/28/2021,Ab Band,16
28,4/29/2021,Ab Band,16
29,4/30/2021,Ab Band,16
30,5/1/2021,Ab Band,16
31,5/2/2021,Ab Band,16
32,5/3/2021,Ab Band,16
33,5/4/2021,Ab Band,16
34,5/5/2021,Ab Band,16
35,5/6/2021,Ab Band,16
36,5/7/2021,Ab Band,16
37,5/8/2021,Ab Band,16
38,5/9/2021,Ab Band,16
39,5/10/2021,Ab Band,16
40,5/11/2021,Ab Band,16
41,5/12/2021,Ab Band,16
42,5/13/2021,Ab Band,16
43,5/14/2021,Ab Band,16
44,5/15/2021,Ab Band,16
45,5/16/2021,Ab Band,16
46,5/17/2021,Ab Band,16
47,5/18/2021,Ab Band,16
48,5/19/2021,Ab Band,16
49,5/20/2021,Ab Band,16
50,5/21/2021,Ab Band,16
51,5/22/2021,Ab Band,16
52,5/23/2021,Ab Band,16
53,5/24/2021,Ab Band,16
54,5/25/2021,Ab Band,16
55,5/26/2021,Ab Band,16
56,5/27/2021,Ab Band,16
57,5/28/2021,Ab Band,16
58,5/29/2021,Ab Band,16
59,5/30/2021,Ab Band,16
60,5/31/2021,Ab Band,16
61,6/1/2021,Ab Band,16
62,6/2/2021,Ab Band,16
63,6/3/2021,Ab Band,16
64,6/4/2021,Ab Band,16
65,6/5/2021,Ab Band,16
66,6/6/2021,Ab Band,16
67,6/7/2021,Ab Band,30
68,6/8/2021,Ab Band,40
69,6/9/2021,Ab Band,40
70,6/10/2021,Ab Band,40
71,6/11/2021,Ab Band,40
72,6/12/2021,Ab Band,40
73,6/13/2021,Ab Band,40
74,6/14/2021,Ab Band,40
75,6/15/2021,Ab Band,40
76,6/16/2021,Ab Band,40
77,6/17/2021,Ab Band,40
78,6/18/2021,Ab Band,40
79,6/19/2021,Ab Band,40
80,6/20/2021,Ab Band,40
81,6/21/2021,Ab Band,40
82,6/22/2021,Ab Band,40
83,6/23/2021,Ab Band,40
84,6/24/2021,Ab Band,40
85,6/25/2021,Ab Band,40
86,6/26/2021,Ab Band,40
87,6/27/2021,Ab Band,40
88,6/28/2021,Ab Band,40
89,6/29/2021,Ab Band,40
90,6/30/2021,Ab Band,40
91,7/1/2021,Ab Band,40
92,7/2/2021,Ab Band,40
93,7/3/2021,Ab Band,40
94,7/4/2021,Ab Band,40
95,7/5/2021,Ab Band,40
96,7/6/2021,Ab Band,40
97,7/7/2021,Ab Band,40
98,7/8/2021,Ab Band,40
99,7/9/2021,Ab Band,40
100,7/10/2021,Ab Band,40
101,7/11/2021,Ab Band,40
102,7/12/2021,Ab Band,40
103,7/13/2021,Ab Band,40
104,7/14/2021,Ab Band,40
105,7/15/2021,Ab Band,40
106,7/16/2021,Ab Band,40
107,7/17/2021,Ab Band,40
108,7/18/2021,Ab Band,40
109,7/19/2021,Ab Band,40
110,7/20/2021,Ab Band,40
111,7/21/2021,Ab Band,40
112,7/22/2021,Ab Band,40
113,7/23/2021,Ab Band,40
114,7/24/2021,Ab Band,40
115,7/25/2021,Ab Band,40
116,7/26/2021,Ab Band,40
117,7/27/2021,Ab Band,40
118,7/28/2021,Ab Band,40
119,7/29/2021,Ab Band,40
120,7/30/2021,Ab Band,40
121,7/31/2021,Ab Band,40
122,8/1/2021,Ab Band,40
123,8/2/2021,Ab Band,40
124,8/3/2021,Ab Band,40
125,8/4/2021,Ab Band,40
126,8/5/2021,Ab Band,40
127,8/6/2021,Ab Band,40
128,8/7/2021,Ab Band,40
129,8/8/2021,Ab Band,40
130,8/9/2021,Ab Band,40
131,8/10/2021,Ab Band,40
132,8/11/2021,Ab Band,40
133,8/12/2021,Ab Band,40
134,8/13/2021,Ab Band,40
135,8/14/2021,Ab Band,40
136,8/15/2021,Ab Band,40
137,8/16/2021,Ab Band,40
138,8/17/2021,Ab Band,40
139,8/18/2021,Ab Band,40
140,8/19/2021,Ab Band,40
141,8/20/2021,Ab Band,40
142,8/21/2021,Ab Band,40
143,8/22/2021,Ab Band,40
144,8/23/2021,Ab Band,40
145,8/24/2021,Ab Band,40
146,8/25/2021,Ab Band,40
147,8/26/2021,Ab Band,40
148,8/27/2021,Ab Band,40
149,8/28/2021,Ab Band,40
150,8/29/2021,Ab Band,40
151,8/30/2021,Ab Band,40
152,8/31/2021,Ab Band,40
0,4/1/2021,Ab Kamari,0
1,4/2/2021,Ab Kamari,5
2,4/3/2021,Ab Kamari,5
3,4/4/2021,Ab Kamari,5
4,4/5/2021,Ab Kamari,5
5,4/6/2021,Ab Kamari,5
6,4/7/2021,Ab Kamari,5
7,4/8/2021,Ab Kamari,5
8,4/9/2021,Ab Kamari,5
9,4/10/2021,Ab Kamari,5
10,4/11/2021,Ab Kamari,5
11,4/12/2021,Ab Kamari,5
12,4/13/2021,Ab Kamari,5
13,4/14/2021,Ab Kamari,5
14,4/15/2021,Ab Kamari,6
15,4/16/2021,Ab Kamari,6
16,4/17/2021,Ab Kamari,6
17,4/18/2021,Ab Kamari,6
18,4/19/2021,Ab Kamari,15
19,4/20/2021,Ab Kamari,15
20,4/21/2021,Ab Kamari,15
21,4/22/2021,Ab Kamari,15
22,4/23/2021,Ab Kamari,16
23,4/24/2021,Ab Kamari,31
24,4/25/2021,Ab Kamari,31
25,4/26/2021,Ab Kamari,31
26,4/27/2021,Ab Kamari,31
27,4/28/2021,Ab Kamari,31
28,4/29/2021,Ab Kamari,31
29,4/30/2021,Ab Kamari,31
30,5/1/2021,Ab Kamari,31
31,5/2/2021,Ab Kamari,31
32,5/3/2021,Ab Kamari,31
33,5/4/2021,Ab Kamari,31
34,5/5/2021,Ab Kamari,31
35,5/6/2021,Ab Kamari,31
36,5/7/2021,Ab Kamari,31
37,5/8/2021,Ab Kamari,31
38,5/9/2021,Ab Kamari,31
39,5/10/2021,Ab Kamari,31
40,5/11/2021,Ab Kamari,32
41,5/12/2021,Ab Kamari,32
42,5/13/2021,Ab Kamari,32
43,5/14/2021,Ab Kamari,32
44,5/15/2021,Ab Kamari,32
45,5/16/2021,Ab Kamari,32
46,5/17/2021,Ab Kamari,32
47,5/18/2021,Ab Kamari,32
48,5/19/2021,Ab Kamari,32
49,5/20/2021,Ab Kamari,32
50,5/21/2021,Ab Kamari,32
51,5/22/2021,Ab Kamari,32
52,5/23/2021,Ab Kamari,32
53,5/24/2021,Ab Kamari,32
54,5/25/2021,Ab Kamari,32
55,5/26/2021,Ab Kamari,32
56,5/27/2021,Ab Kamari,32
57,5/28/2021,Ab Kamari,34
58,5/29/2021,Ab Kamari,34
59,5/30/2021,Ab Kamari,35
60,5/31/2021,Ab Kamari,35
61,6/1/2021,Ab Kamari,35
62,6/2/2021,Ab Kamari,35
63,6/3/2021,Ab Kamari,35
64,6/4/2021,Ab Kamari,39
65,6/5/2021,Ab Kamari,62
66,6/6/2021,Ab Kamari,62
67,6/7/2021,Ab Kamari,62
68,6/8/2021,Ab Kamari,62
69,6/9/2021,Ab Kamari,62
70,6/10/2021,Ab Kamari,62
71,6/11/2021,Ab Kamari,62
72,6/12/2021,Ab Kamari,62
73,6/13/2021,Ab Kamari,62
74,6/14/2021,Ab Kamari,62
75,6/15/2021,Ab Kamari,62
76,6/16/2021,Ab Kamari,62
77,6/17/2021,Ab Kamari,62
78,6/18/2021,Ab Kamari,62
79,6/19/2021,Ab Kamari,62
80,6/20/2021,Ab Kamari,62
81,6/21/2021,Ab Kamari,62
82,6/22/2021,Ab Kamari,62
83,6/23/2021,Ab Kamari,62
84,6/24/2021,Ab Kamari,62
85,6/25/2021,Ab Kamari,62
86,6/26/2021,Ab Kamari,62
87,6/27/2021,Ab Kamari,62
88,6/28/2021,Ab Kamari,62
89,6/29/2021,Ab Kamari,62
90,6/30/2021,Ab Kamari,62
91,7/1/2021,Ab Kamari,62
92,7/2/2021,Ab Kamari,62
93,7/3/2021,Ab Kamari,62
94,7/4/2021,Ab Kamari,62
95,7/5/2021,Ab Kamari,62
96,7/6/2021,Ab Kamari,62
97,7/7/2021,Ab Kamari,62
98,7/8/2021,Ab Kamari,62
99,7/9/2021,Ab Kamari,62
100,7/10/2021,Ab Kamari,62
101,7/11/2021,Ab Kamari,62
102,7/12/2021,Ab Kamari,62
103,7/13/2021,Ab Kamari,62
104,7/14/2021,Ab Kamari,62
105,7/15/2021,Ab Kamari,62
106,7/16/2021,Ab Kamari,62
107,7/17/2021,Ab Kamari,62
108,7/18/2021,Ab Kamari,62
109,7/19/2021,Ab Kamari,62
110,7/20/2021,Ab Kamari,62
111,7/21/2021,Ab Kamari,62
112,7/22/2021,Ab Kamari,62
113,7/23/2021,Ab Kamari,62
114,7/24/2021,Ab Kamari,62
115,7/25/2021,Ab Kamari,62
116,7/26/2021,Ab Kamari,62
117,7/27/2021,Ab Kamari,62
118,7/28/2021,Ab Kamari,62
119,7/29/2021,Ab Kamari,62
120,7/30/2021,Ab Kamari,62
121,7/31/2021,Ab Kamari,62
122,8/1/2021,Ab Kamari,62
123,8/2/2021,Ab Kamari,62
124,8/3/2021,Ab Kamari,62
125,8/4/2021,Ab Kamari,62
126,8/5/2021,Ab Kamari,62
127,8/6/2021,Ab Kamari,62
