year,srcOrganization,srcOrganizationTypes,amountUSD
2009.0,Afghanistan,Government,136493.0
2009.0,Afghanistan ERF (until 2014),Pooled fund,3450250.0
2009.0,Agency for Technical Cooperation and Development,Other,3222751.0
2009.0,Australia,Government,5502612.0
2009.0,Austria,Government,680240.0
2009.0,Belgium,Government,6864459.0
2009.0,Bill and Melinda Gates Foundation,Foundation/private,1000607.0
2009.0,Brazil,Government,99399.0
2009.0,CARITAS,Other,336673.0
2009.0,CRS and Private Foundations,Other,590550.0
2009.0,Canada,Government,26637376.0
2009.0,Central Emergency Response Fund,Pooled fund,4165567.0
2009.0,Czech Republic,Government,354904.0
2009.0,Denmark,Government,21708392.0
2009.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,53914703.0
2009.0,Finland,Government,6471485.0
2009.0,France,Government,8113869.0
2009.0,Germany,Government,38208076.0
2009.0,Greece,Government,711509.0
2009.0,India,Government,6402790.0
2009.0,Ireland,Government,4703373.0
2009.0,Italy,Government,8851775.0
2009.0,Japan,Government,89763865.0
2009.0,Kazakhstan,Government,169000.0
2009.0,Khalifa Bin Zayed Al Nahyan Foundation,Other,37328610.0
2009.0,Kyrgyzstan,Government,20291.0
2009.0,Luxembourg,Government,1441453.0
2009.0,Netherlands,Government,14813667.0
2009.0,Norway,Government,26408246.0
2009.0,Office for the Coordination of Humanitarian Affairs,UN agency,5510730.0
2009.0,Private (individuals & organizations),Foundation/private,676656.0
2009.0,Romania,Government,147928.0
2009.0,Russian Federation,Government,10000000.0
2009.0,Saudi Arabia (Kingdom of),Government,731259.0
2009.0,Slovakia,Government,42194.0
2009.0,Spain,Government,706970.0
2009.0,Sweden,Government,10616013.0
2009.0,Switzerland,Government,825007.0
2009.0,Turkey,Government,50000.0
2009.0,United Arab Emirates,Government,6687892.0
2009.0,United Kingdom,Government,10012154.0
2009.0,United Nations High Commissioner for Refugees,UN agency,36063952.0
2009.0,United States of America,Government,58894420.0
2009.0,World Food Programme,UN agency,339310232.0
2009.0,Association for Aid and Relief Japan,,0.0
2009.0,Australian Red Cross,,0.0
2009.0,Bahamas,,0.0
2009.0,British Red Cross,,0.0
2009.0,Croatia,,0.0
2009.0,Danish Red Cross,,0.0
2009.0,European Commission,,0.0
2009.0,Finnish Red Cross,,0.0
2009.0,Food & Agriculture Organization of the United Nations,,0.0
2009.0,Japanese Red Cross Society,,0.0
2009.0,Korea,,0.0
2009.0,Lithuania,,0.0
2009.0,Medico International,,0.0
2009.0,Mine Action Programme of Afghanistan,,0.0
2009.0,Poland,,0.0
2009.0,Swedish Red Cross,,0.0
2009.0,United Nations Children's Fund,,0.0
2009.0,United Nations Mine Action Service,,0.0
2009.0,World Health Organization,,0.0
2009.0,Estonia,,0.0
2009.0,Hungary,,0.0
2009.0,Iceland,,0.0
2009.0,New Zealand,,0.0
2009.0,Slovenia,,0.0
2009.0,UNICEF National Committee/Japan,,0.0
2009.0,UNICEF National Committee/Netherlands,,0.0
2009.0,UNICEF National Committee/United Kingdom,,0.0
2009.0,ACF - France Action Contre la Faim,,0.0
2009.0,Norwegian Refugee Council,,0.0
2009.0,Oman,,0.0
2009.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2009.0,Solidarités International,,0.0
2009.0,Swiss Solidarity,,0.0
2009.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2009.0,Qatar,,0.0
2009.0,Afghanistan Humanitarian Fund,,0.0
2009.0,United States Fund for UNICEF,,0.0
2009.0,Start Network,,0.0
2009.0,UN Agencies (Confidential),,0.0
2009.0,Malta,,0.0
2009.0,Qawafil for Relief and Development,,0.0
2009.0,Bosnia & Herzegovina,,0.0
2009.0,Bulgaria,,0.0
2009.0,China,,0.0
2009.0,Education Cannot Wait Fund,,0.0
2009.0,Mexico,,0.0
2009.0,United Nations Population Fund,,0.0
2009.0,Aktion Deutschland Hilft,,0.0
2009.0,Dutch Relief Alliance,,0.0
2009.0,Kuwait Red Crescent Society,,0.0
2009.0,Oxfam Australia,,0.0
2009.0,Qatar Charity,,0.0
2009.0,UNICEF National Committee/Canada,,0.0
2009.0,United Nations Development Programme,,0.0
2009.0,United Nations Foundation,,0.0
2009.0,War Child Canada,,0.0
2009.0,Caritas Germany (DCV),,0.0
2009.0,Danish Committee for Aid to Afghan Refugees,,0.0
2009.0,UNICEF National Committee/Denmark,,0.0
2009.0,ActionAid International,,0.0
2009.0,Asian Development Bank,,0.0
2009.0,COVID-19 Humanitarian Thematic Fund,,0.0
2009.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2009.0,Kuwait,,0.0
2009.0,Oxfam,,0.0
2009.0,PATRIP Foundation,,0.0
2009.0,UNDP Administered Trust Fund,,0.0
2009.0,UNICEF National Committee/New Zealand,,0.0
2009.0,United Nations Office for Project Services,,0.0
2009.0,World Bank,,0.0
2009.0,Cyprus,,0.0
