year,cluster,requirements,funding,percent_funded
2001.0,Multiple Sectors,0.0,0.0,
2001.0,Not Specified,0.0,2053268.0,inf
2002.0,Multiple Sectors,0.0,0.0,
2002.0,Not Specified,0.0,1196693956.0,inf
2003.0,Multiple Sectors,0.0,0.0,
2003.0,Not Specified,0.0,313948366.0,inf
2004.0,Multiple Sectors,0.0,0.0,
2004.0,Not Specified,0.0,26511074.0,inf
2006.0,Multiple Sectors,0.0,0.0,
2006.0,Not Specified,0.0,63620911.0,inf
2008.0,Agricultural Recovery,176707600.0,57152879.0,0.3234319236976791
2008.0,Food Security & Agriculture,203055924.0,136627075.0,0.6728544152201145
2008.0,Health,8090000.0,1195425.0,0.14776576019777504
2008.0,Multiple Sectors,0.0,0.0,
2008.0,Not Specified,0.0,77862994.0,inf
2008.0,Nutrition,2875340.0,447795.0,0.1557363650907371
2008.0,Protection,502900.0,0.0,0.0
2008.0,"Water, Sanitation & Hygiene",8556000.0,3704720.0,0.43299672744273027
2009.0,Common Services,30181446.0,35062614.0,1.1617274400968065
2009.0,Education,17394371.0,27715522.0,1.5933615535738543
2009.0,Emergency Shelter,36141262.0,25472179.0,0.7047949515431974
2009.0,Emergency Telecommunications,330167.0,330167.0,1.0
2009.0,Food Security & Agriculture,352502935.0,343597498.0,0.9747365592856695
2009.0,Health,37176839.0,1905356.0,0.05125115666773068
2009.0,Multiple Sectors,42106632.0,27927321.0,0.6632523114173559
2009.0,Not Specified,0.0,2782994.0,inf
2009.0,Nutrition,6769364.0,1271380.0,0.1878138034828678
2009.0,Protection,119457702.0,32352913.0,0.2708315366722859
2009.0,"Water, Sanitation & Hygiene",22862337.0,9305892.0,0.40704027764090783
2010.0,Common Services,27064925.0,22859926.0,0.8446328966365139
2010.0,Education,33144241.0,621911.0,0.018763772566099794
2010.0,Emergency Shelter,50802560.0,31890043.0,0.6277251185767017
2010.0,Food Security & Agriculture,368691762.0,276658180.0,0.7503779810518251
2010.0,Health,12702186.0,6236306.0,0.49096320900985074
2010.0,Multiple Sectors,79714395.0,47842527.0,0.6001742470729409
2010.0,Not Specified,0.0,2206951.0,inf
2010.0,Nutrition,8669571.0,6263336.0,0.7224505111037213
