id,date,taliban_control,idx
Ab Band,5/11/2021,0,0
Ab Band,5/12/2021,0,1
Ab Band,6/7/2021,0,2
Ab Band,6/8/2021,0,3
Ab Band,6/12/2021,0,4
Ab Band,6/13/2021,0,5
Ab Band,6/14/2021,1,6
Ab Band,6/15/2021,1,7
Ab Band,6/20/2021,1,8
Ab Band,6/21/2021,1,9
Ab Band,6/23/2021,1,10
Ab Band,6/24/2021,1,11
Ab Band,6/25/2021,1,12
Ab Band,6/27/2021,1,13
Ab Band,6/29/2021,1,14
Ab Band,6/30/2021,1,15
Ab Band,7/3/2021,1,16
Ab Band,7/4/2021,1,17
Ab Band,7/5/2021,1,18
Ab Band,7/6/2021,1,19
Ab Band,7/10/2021,1,20
Ab Band,7/11/2021,1,21
Ab Band,7/12/2021,1,22
Ab Band,7/13/2021,1,23
Ab Band,7/14/2021,1,24
Ab Band,7/18/2021,1,25
Ab Band,7/22/2021,1,26
Ab Band,7/25/2021,1,27
Ab Band,8/6/2021,1,28
Ab Band,8/7/2021,1,29
Ab Band,8/8/2021,1,30
Ab Band,8/10/2021,1,31
Ab Band,8/11/2021,1,32
Ab Band,8/12/2021,1,33
Ab Band,8/13/2021,1,34
Ab Band,8/14/2021,1,35
Ab Band,8/16/2021,1,36
Ab Kamari,5/11/2021,0,0
Ab Kamari,5/12/2021,0,1
Ab Kamari,6/7/2021,0,2
Ab Kamari,6/8/2021,0,3
Ab Kamari,6/12/2021,0,4
Ab Kamari,6/13/2021,0,5
Ab Kamari,6/14/2021,0,6
Ab Kamari,6/15/2021,0,7
Ab Kamari,6/20/2021,0,8
Ab Kamari,6/21/2021,0,9
Ab Kamari,6/23/2021,0,10
Ab Kamari,6/24/2021,0,11
Ab Kamari,6/25/2021,0,12
Ab Kamari,6/27/2021,0,13
Ab Kamari,6/29/2021,0,14
Ab Kamari,6/30/2021,0,15
Ab Kamari,7/3/2021,0,16
Ab Kamari,7/4/2021,0,17
Ab Kamari,7/5/2021,0,18
Ab Kamari,7/6/2021,1,19
