id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
61202,"Afghanistan, Government of",Central Emergency Response Fund,"Funds to be allocated to specific appeals, agencies and projects.",,1500.00,Paid Contribution,2009
61473,"Italy, Government of",International Committee of the Red Cross,"Support prevention activities and physical rehabilitation of landmine victims, in response to the Special Appeal Mine Action 2009",Protection - Mine Action,323834.00,Commitment,2009
61474,"Italy, Government of",International Committee of the Red Cross,"The activities, carried out in consultation with the Afghan Red Cross, will provide supply of food and essential items to IDPs and vulnerable populations affected by armed conflict and drought and will be used for activities aimed at protecting detainees in order to monitor the health and respect for human rights in Herat province",Multi-sector,712435.00,Commitment,2009
62073,"Finland, Government of",United Nations Children's Fund,Nutrition emergency preparedness and response action plan (SM099906),Nutrition,127513.00,Paid Contribution,2009
62202,"Germany, Government of","Afghanistan, Government of","Supply of fuel, wear, shoes, food, hygiene articles (VN05 321.50 AFG 02/09)",Emergency Shelter and NFI,71531.00,Commitment,2009
62222,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),"Cash for work, road rehabilitation (VN05 321.50 AFG 04/09)",Multi-sector,379272.00,Commitment,2009
62233,World Food Programme,World Food Programme,Food aid,Food Security,208099098.00,Paid Contribution,2009
62234,"France, Government of",World Food Programme,Food aid,Food Security,2231582.00,Paid Contribution,2009
62235,World Food Programme,World Food Programme,Food aid (Multilateral funds),Food Security,422413.00,Paid Contribution,2009
62267,"Germany, Government of",Johanniter-Unfall-Hilfe e.V.,"Supply of food, medical aid (VN05 321.50 AFG 03/09)",Multi-sector,194200.00,Commitment,2009
62574,"Germany, Government of",International Committee of the Red Cross,Assistance and protection activities (VN05 321.50 AFG 06/09),Protection,1312336.00,Commitment,2009
62608,Central Emergency Response Fund,United Nations Children's Fund,CERF rapid response grant to project: Provision of safe drinking water and hygiene and sanitation promotion in response to the immediate consequences of winter (CERF 09-CEF-006A),Water Sanitation Hygiene,1155868.00,Paid Contribution,2009
62609,Central Emergency Response Fund,United Nations Children's Fund,CERF rapid response grant to project: Nutrition interventions in response to the immediate consequences of winter (CERF 09-CEF-006B),Nutrition,539317.00,Paid Contribution,2009
62697,"Germany, Government of",HALO Trust,Humanitarian demining (VN05 440.70 AFG 01/09),Protection - Mine Action,2086192.00,Commitment,2009
62725,"Norway, Government of",Norwegian Red Cross,Humanitarian assistance (AFG-09/013),Multi-sector,6078104.00,Commitment,2009
62727,Central Emergency Response Fund,World Health Organization,CERF rapid response grant to project: Providing emergency health care for those affected by harsh winter conditions (CERF 09-WHO-003),Health,500225.00,Paid Contribution,2009
62728,"Denmark, Government of",Mission East,To contribute to health and welfare improvements (46.H.7-11-114.),Multi-sector,8500000.00,Commitment,2009
62807,"Germany, Government of",Caritas Germany (DCV),Support of 7 existing emergency health posts and provision of food items (VN05 321.50 AFG 08/09),Multi-sector,144357.00,Commitment,2009
63038,"Russian Federation, Government of",World Food Programme,Food aid,Food Security,5000000.00,Paid Contribution,2009
63039,"United Kingdom, Government of",World Food Programme,Food aid,Food Security,8583691.00,Paid Contribution,2009
63041,"Japan, Government of",World Food Programme,Food aid,Food Security,38000000.00,Paid Contribution,2009
63093,Central Emergency Response Fund,International Organization for Migration,CERF rapid response grant to project: Fuel provision for vulnerable farmers (CERF 09-IOM-002),Emergency Shelter and NFI,495089.00,Paid Contribution,2009
63140,"Australia, Government of",Office for the Coordination of Humanitarian Affairs,Coordinating Effective and Rapid Response to Humanitarian Needs (OCT 2542),Coordination and support services,344076.00,Paid Contribution,2009
63166,"Luxembourg, Government of",International Committee of the Red Cross,"IHL, assistance and protection",Protection,656168.00,Paid Contribution,2009
63214,Private (individuals & organizations),United Nations High Commissioner for Refugees,Shelter assistance support to voluntary repatriation and reintegration,Emergency Shelter and NFI,391686.00,Paid Contribution,2009
