date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2022-11-03,,France 	10044419	 No 	 2022-0345800 	 FRA-C-00329-03 	 AF01.01.011.NPA1 	29/07/2022,1004016,"France, Government of",Government,FRA,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Nutrition,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-03,2022-07-29,,,,,261921,10044419	 No 	 2022-0345800 	 FRA-C-00329-03 	 AF01.01.011.NPA1,2022-11-03,2022-11-03
2022-11-03,,Germany 	10044087	 No 	 ASI 08/21 	 GER-C-01156-01 	 AF01.01.011 	15/09/2022,93279840,"Germany, Government of",Government,DEU,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Nutrition,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-03,2022-09-15,Multi-year,,,,261931,10044087	 ASI 08/21 	 GER-C-01156-01 	 AF01.01.011,2022-11-03,2022-11-03
2022-11-03,,Nutrition,290873,"Spain, Government of",Government,ESP,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Nutrition,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-03,2022-09-19,,,,,261932,10043384	 D194/P8006 ND2022/724/AF 	 SPA-C-00161-01 	 AF01.01.011.NPA1,2022-11-03,2022-11-03
2022-11-03,,Food Security and Agriculture,6000000,"Korea, Republic of, Government of",Government,KOR,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Food Security,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-01-23,2022-09-23,,,,,261936,10044595	 MOU 23.09.2022/NV22/203 	 KOR-C-00256-01 	 AF01,2022-11-03,2022-11-03
2022-11-03,,Education,1700000,"Korea, Republic of, Government of",Government,KOR,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Education,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-01-23,2022-09-23,,,,,261937,10044595	 MOU 23.09.2022/NV22/203 	 KOR-C-00256-01 	 AF01,2022-11-03,2022-11-03
2022-11-03,,Multi-sector,1300000,"Korea, Republic of, Government of",Government,KOR,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Multi-sector,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-01-23,2022-09-23,,,,,261938,10044595	 MOU 23.09.2022/NV22/203 	 KOR-C-00256-01 	 AF01,2022-11-03,2022-11-03
2022-11-02,,"Australia 	 10044450 	 No 	 SA 76818 	 AUL-C-00316-08 	 AF01 	29/04/2021	 Cash 	 Yes 	 6,088,280",6088280,"Australia, Government of",Government,AUS,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Food Security,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-02,2021-04-29,,,,,261908,10044450 	 SA 76818 	 AUL-C-00316-08 	 AF01,2022-11-03,2022-11-03
2022-11-02,,"Private Donors 	10044399	 No 	 WFP USA GTF FOR Q3 	 WPD-C-06154-01 	 AF01 	28/07/2022	 Cash 	 No 	 9,000",9000,Private (individuals & organizations),Private organization/foundation,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Multi-sector,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-02,2022-07-28,,,,,261916,10044399	WFP USA GTF FOR Q3 	 WPD-C-06154-01 	 AF01,2022-11-03,2022-11-03
2022-11-02,,"USA 	10044336	 No 	 720BHA21IO00109 	 USA-C-01977-06 	 AF01.01.011.URT1 	07/04/2022	 Cash 	 No 	 457,493",457493,"United States of America, Government of",Government,USA,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Food Security,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-11-02,2022-04-07,,,,,261918,10044336	 720BHA21IO00109 	 USA-C-01977-06 	 AF01.01.011.URT1,2022-11-03,2022-11-03
