countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6646,Aviation,85000000,11334190,13
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6647,Coordination and Common Services,25600000,37029168,145
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6639,Education,162100000,190192842,117
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6640,Emergency Shelter and NFI,374000000,94689142,25
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6641,Food Security and Agriculture,2660000000,1061436464,40
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6642,Health,378000000,171899680,45
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6643,Nutrition,287400000,203376724,71
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6644,Protection,137300000,104429219,76
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,6645,"Water, Sanitation and Hygiene",332800000,73187900,22
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,,Not specified,,185787196,
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,2022-01-01,2022-12-31,2022,,Multiple clusters/sectors (shared),,239796770,
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5978,Aviation,9000000,6846379,76
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5977,Coordination and Common Services,4260000,10745579,252
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5970,Education in Emergencies,76540000,16153529,21
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5971,Emergency Shelter and NFI,85900000,15986525,19
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5972,Food Security and Agriculture,351300000,280950624,80
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5973,Health,118000000,80623181,68
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5974,Nutrition,82099078,141849836,173
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5975,Protection,79367405,49750930,63
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,5976,"Water, Sanitation and Hygiene",62200000,32894254,53
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,,Not specified,,208418187,
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,2021-01-01,2021-12-31,2021,,Multiple clusters/sectors (shared),,122820460,
AFG,1057,Afghanistan Flash Appeal 2021,FAFG21,2021-09-01,2021-12-31,2021,6303,Aviation,40700000,12411391,30
AFG,1057,Afghanistan Flash Appeal 2021,FAFG21,2021-09-01,2021-12-31,2021,6302,Coordination and Support Services,13700000,4476760,33
